"School Name","Region"
"Baldivis Secondary College","WA"
"Balga Senior High School","WA"
"Ballajura Community College","WA"
"Ballarat Christian College","VIC"
"Ballarat Clarendon College","VIC"
"Ballarat Grammar","VIC"
"Ballarat High School","VIC"
"Ballarat Specialist School","VIC"
"Ballina Coast High School","NSW"
"Balmoral K-12 Community College","VIC"
"Balmoral State High School","QLD"
"Balranald Central School","NSW"
"Balwyn High School","VIC"
"Baniyala Garrangali School","NT"
"Banksia Park International High School","SA"
"Bankstown Girls High School","NSW"
"Bankstown Hospital School","NSW"
"Bankstown Senior College","NSW"
"Bannockburn P-12 College","VIC"
"Banora Point High School","NSW"
"Baradine Central School","NSW"
"Baralaba State School","QLD"
"Barcaldine Prep-12 State School","QLD"
"Barellan Central School","NSW"
"Barham High School","NSW"
"Baringa Special School","VIC"
"Barker College","NSW"
"Barraba Central School","NSW"
"Barrenjoey High School","NSW"
"Barrett Adolescent Centre Special School","QLD"
"Barunga School","NT"
"Barwon Learning Centre","NSW"
"Barwon Valley School","VIC"
"Bass Coast Specialist School","VIC"
"Bass High School","NSW"
"Batchelor Area School","NT"
"Batemans Bay High School","NSW"
"Bates Drive School","NSW"
"Batlow Technology School","NSW"
"Baulkham Hills High School","NSW"
"Bayside Christian College","VIC"
"Bayside Christian College Hervey Bay","QLD"
"Bayside P-12 College","VIC"
"Bayside Special Developmental School","VIC"
"Bayswater Secondary College","VIC"
"Bayview College","VIC"
"Bayview Secondary College","TAS"
"Beaconhills College","VIC"
"Beaudesert State High School","QLD"
"Beaufort Secondary College","VIC"
"Beaumaris Secondary College","VIC"
"Bede Polding College","NSW"
"Beechworth Secondary College","VIC"
"Beenleigh Special School","QLD"
"Beenleigh State High School","QLD"
"Beerwah State High School","QLD"
"Bega High School","NSW"
"Belconnen High School","ACT"
"Beldon Education Support Centre","WA"
"Belgrave Heights Christian School","VIC"
"Bell State School","QLD"
"Bellarine Secondary College","VIC"
"Bellbird Park State Secondary College","QLD"
"Bellfield College","NSW"
"Bellingen High School","NSW"
"Belmont Christian College","NSW"
"Belmont City College","WA"
"Belmont High School","NSW"
"Belmont High School","VIC"
"Belmore Boys High School","NSW"
"Belmore School","VIC"
"Belridge Secondary College","WA"
"Belridge Secondary Education Support Centre","WA"
"Belvoir Wodonga Special Developmental School","VIC"
"Belyuen School","NT"
"Benalla P-12 College","VIC"
"Bendigo Senior Secondary College","VIC"
"Bendigo South East 7-10 Secondary College","VIC"
"Bendigo Special Developmental School","VIC"
"Benowa State High School","QLD"
"Bentleigh Secondary College","VIC"
"Bentley Park College","QLD"
"Berendale School","VIC"
"Berengarra School","VIC"
"Berry Street School","VIC"
"Berwick Secondary College","VIC"
"Beth Rivkah Ladies College","VIC"
"Bethany College","NSW"
"Bethel Christian School","NSW"
"Bethel Christian School","WA"
"Bethlehem College","NSW"
"Beverley District High School","WA"
"Beverley Park School","NSW"
"Beverly Hills Girls High School","NSW"
"Bhaktivedanta Swami Gurukula School","NSW"
"Biala Special School","NSW"
"Bialik College","VIC"
"Bible Baptist Christian Academy","WA"
"Biggenden State School","QLD"
"Billabong High School","NSW"
"Billanook College","VIC"
"Biloela State High School","QLD"
"Bingara Central School","NSW"
"Binnaway Central School","NSW"
"Birali Steiner School","QLD"
"Birchip P-12 School","VIC"
"Birdwood High School","SA"
"Birrong Boys High School","NSW"
"Birrong Girls High School","NSW"
"Bishop Druitt College","NSW"
"Bishop Tyrrell Anglican College","NSW"
"Black Mountain School","ACT"
"Blackall Range Independent School","QLD"
"Blackall State School","QLD"
"Blackburn English Language School","VIC"
"Blackburn High School","VIC"
"Blackfriars Priory School","SA"
"Blackheath and Thornburgh College","QLD"
"Blacktown Boys High School","NSW"
"Blacktown Girls High School","NSW"
"Blacktown Youth College Incorporated","NSW"
"Blackwater State High School","QLD"
"Blackwood High School","SA"
"Blakehurst High School","NSW"
"Blakes Crossing Christian College","SA"
"Blaxland High School","NSW"
"Blayney High School","NSW"
"Blue Gum Community School","ACT"
"Blue Hills College","NSW"
"Blue Mountains Grammar School","NSW"
"Bob Hawke College","WA"
"Boddington District High School","WA"
"Boggabilla Central School","NSW"
"Bold Park Community School","WA"
"Bomaderry High School","NSW"
"Bombala High School","NSW"
"Bonalbo Central School","NSW"
"Bonnyrigg High School","NSW"
"Bonya School","NT"
"Booleroo Centre District School","SA"
"Boonah State High School","QLD"
"Boorowa Central School","NSW"
"Boort District P-12 School","VIC"
"Border Christian College","NSW"
"Border Rivers Christian College","QLD"
"Bordertown High School","SA"
"Borinya, Wangaratta Community Partnership","VIC"
"Boronia K-12 College","VIC"
"Borroloola School","NT"
"Bossley Park High School","NSW"
"Bothwell District High School","TAS"
"Bourke High School","NSW"
"Bournda Environmental Education Centre","NSW"
"Bowden Brompton Community School","SA"
"Bowen State High School","QLD"
"Bowral High School","NSW"
"Bowraville Central School","NSW"
"Box Hill High School","VIC"
"Box Hill Senior Secondary College","VIC"
"Boyup Brook District High School","WA"
"Bracken Ridge State High School","QLD"
"Bradfield College","NSW"
"Braemar College","VIC"
"Braidwood Central School","NSW"
"Brauer Secondary College","VIC"
"Bray Park State High School","QLD"
"Braybrook College","VIC"
"Bremer State High School","QLD"
"Brentwood Secondary College","VIC"
"Brewarrina Central School","NSW"
"Brewongle Environmental Education Centre","NSW"
"Bribie Island State High School","QLD"
"Bridge Road School","NSW"
"Bridgetown High School","WA"
"Bright P-12 College","VIC"
"Brighton Grammar School","VIC"
"Brighton Secondary College","VIC"
"Brighton Secondary School","SA"
"Brigidine College","QLD"
"Brigidine College Randwick","NSW"
"Brigidine College St Ives","NSW"
"Brindabella Christian College","ACT"
"Brisbane Adventist College","QLD"
"Brisbane Bayside State College","QLD"
"Brisbane Boys' College","QLD"
"Brisbane Christian College","QLD"
"Brisbane Girls Grammar School","QLD"
"Brisbane Grammar School","QLD"
"Brisbane Montessori School","QLD"
"Brisbane School of Distance Education","QLD"
"Brisbane State High School","QLD"
"Brisbane Water Secondary College Umina Campus","NSW"
"Brisbane Water Secondary College Woy Woy Campus","NSW"
"Brisbane Youth Education and Training Centre","QLD"
"Broadford Secondary College","VIC"
"Broadmeadows Special Developmental School","VIC"
"Broderick Gillawarna School","NSW"
"Broken Hill High School","NSW"
"Brooks High School","TAS"
"Brookside P-9 College","VIC"
"Brookton District High School","WA"
"Broome Senior High School","WA"
"Broughton Anglican College","NSW"
"Browns Plains State High School","QLD"
"Bruce Rock District High School","WA"
"Brunswick Secondary College","VIC"
"Buckley Park College","VIC"
"Budawang School","NSW"
"Bulahdelah Central School","NSW"
"Bulla Camp School","NT"
"Bulleen Heights School","VIC"
"Bulli High School","NSW"
"Bullimbal School","NSW"
"Bullsbrook College","WA"
"Bulman School","NT"
"Bunbury Baptist College","WA"
"Bunbury Cathedral Grammar School","WA"
"Bunbury Catholic College","WA"
"Bunbury Regional Community College","WA"
"Bunbury Senior High School","WA"
"Bundaberg Christian College","QLD"
"Bundaberg North State High School","QLD"
"Bundaberg Special School","QLD"
"Bundaberg State High School","QLD"
"Bundamba State Secondary College","QLD"
"Bundarra Central School","NSW"
"Bundoora Secondary College","VIC"
"Burbridge School","WA"
"Burdekin Catholic High School","QLD"
"Burdekin Christian College","QLD"
"Burdekin School","QLD"
"Burgmann Anglican School","ACT"
"Burnett State College","QLD"
"Burnett Youth Learning Centre","QLD"
"Burnie High School","TAS"
"Burnside State High School","QLD"
"Burpengary State Secondary College","QLD"
"Burra Community School","SA"
"Burringurrah Remote Community School","WA"
"Burwood East Special Developmental School","VIC"
"Burwood Girls High School","NSW"
"Busselton Senior High School","WA"
"Butler College","WA"
"Bwgcolman Community School","QLD"
"Byford Secondary College","WA"
"Byron Bay High School","NSW"
"Caboolture Special School","QLD"
"Caboolture State High School","QLD"
"Cabra Dominican College","SA"
"Cabramatta High School","NSW"
"Cairns Hinterland Steiner School","QLD"
"Cairns School of Distance Education","QLD"
"Cairns State High School","QLD"
"Cairns State Special School","QLD"
"Cairnsfoot School","NSW"
"Calamvale Community College","QLD"
"Calamvale Special School","QLD"
"Caldera School","NSW"
"Calderwood Christian School","NSW"
"Calen District State College","QLD"
"Callaghan College Jesmond Senior Campus","NSW"
"Callaghan College Wallsend Campus","NSW"
"Callaghan College Waratah Campus","NSW"
"Calliope State High School","QLD"
"Caloundra Christian College","QLD"
"Caloundra City Private School","QLD"
"Caloundra State High School","QLD"
"Calrossy Anglican School","NSW"
"Calvary Christian College","QLD"
"Calwell High School","ACT"
"Camberwell Girls Grammar School","VIC"
"Camberwell Grammar School","VIC"
"Camberwell High School","VIC"
"Cambridge Park High School","NSW"
"Camden Haven High School","NSW"
"Camden High School","NSW"
"Camden Park Environmental Education Centre","NSW"
"Cammeraygal High School","NSW"
"Campania District School","TAS"
"Campbell High School","ACT"
"Campbell House School","NSW"
"Campbell Town District High School","TAS"
"Campbelltown Performing Arts High School","NSW"
"Camperdown College","VIC"
"Canberra Girls Grammar School","ACT"
"Canberra Grammar School","ACT"
"Canberra High School","ACT"
"Canley Vale High School","NSW"
"Cann River P-12 College","VIC"
"Canning College","WA"
"Canning Vale College","WA"
"Canning Vale Education Support Centre","WA"
"Cannington Community College","WA"
"Cannington Community Education Support Centre","WA"
"Cannon Hill Anglican College","QLD"
"Canobolas Rural Technology High School","NSW"
"Canowindra High School","NSW"
"Canteen Creek School","NT"
"Canterbury Boys High School","NSW"
"Canterbury College","QLD"
"Canterbury Girls High School","NSW"
"Canterbury Girls Secondary College","VIC"
"Canterbury Vale School","NSW"
"Capalaba State College","QLD"
"Cape Barren Island School","TAS"
"Cape Byron Rudolf Steiner School","NSW"
"Cape Naturaliste College","WA"
"Capella State High School","QLD"
"Capricornia (Emerald Campus) School of Distance Education","QLD"
"Capstone College","TAS"
"Carbrook Animal Assisted Learning Centre","QLD"
"Cardiff High School","NSW"
"Cardijn College","SA"
"Carenne School","NSW"
"Carey Baptist College","WA"
"Carey Baptist College Forrestdale","WA"
"Carey Baptist Grammar School","VIC"
"Carine Senior High School","WA"
"Caringbah High School","NSW"
"Carinity Education - Glendyne","QLD"
"Carinity Education - Rockhampton","QLD"
"Carinity Education - Southside","QLD"
"Carinya Christian School Gunnedah","NSW"
"Carinya Christian School Tamworth","NSW"
"Carinya School","NSW"
"Caritas College","SA"
"Carlingford High School","NSW"
"Carlisle Adventist Christian College","QLD"
"Carlton School","SA"
"Carmel Adventist College","WA"
"Carmel College","QLD"
"Carmel School","WA"
"Carmichael College","QLD"
"Carnamah District High School","WA"
"Carnarvon Community College","WA"
"Caroline Chisholm Catholic College","VIC"
"Caroline Chisholm College","NSW"
"Caroline Chisholm School","ACT"
"Caroline Chisholm School","NSW"
"Carranballac P-9 College","VIC"
"Carroll College","NSW"
"Carrum Downs Secondary College","VIC"
"Carson Street School","WA"
"Carwatha College P-12","VIC"
"Cascade Environmental Education Centre","NSW"
"Casey Grammar School","VIC"
"Casimir Catholic College","NSW"
"Casino Christian School","NSW"
"Casino High School","NSW"
"Cassia Education Support Centre","WA"
"Casterton Secondary College","VIC"
"Castle Hill High School","NSW"
"Castlecrag Montessori School","NSW"
"Castlemaine Secondary College","VIC"
"Castlemaine Steiner School & Kindergarten","VIC"
"Castlereagh School","WA"
"Casuarina School","NSW"
"Casuarina Senior College","NT"
"Casula High School","NSW"
"Cathedral College Wangaratta","VIC"
"Catherine McAuley Catholic College","NSW"
"Catherine McAuley College","VIC"
"Catherine McAuley Westmead","NSW"
"Catholic College Sale","VIC"
"Catholic College Wodonga","VIC"
"Catholic Ladies' College Ltd","VIC"
"Catholic Regional College Caroline Springs","VIC"
"Catholic Regional College Melton","VIC"
"Catholic Regional College North Keilor","VIC"
"Catholic Regional College St Albans","VIC"
"Catholic Regional College Sydenham","VIC"
"CathWest Innovation College","NSW"
"Caulfield Grammar School","VIC"
"Cavendish Road State High School","QLD"
"Caversham Training and Education Centre","WA"
"Cecil Andrews College","WA"
"Cecil Hills High School","NSW"
"Cecil Plains State School","QLD"
"Cedar College","SA"
"Cedars Christian College","NSW"
"Ceduna Area School","SA"
"Centenary Heights State High School","QLD"
"Centenary State High School","QLD"
"Centennial Park School","NSW"
"Central Coast Adventist School","NSW"
"Central Coast Grammar School","NSW"
"Central Coast Sports College","NSW"
"Central Coast Steiner School","NSW"
"Central Midlands Senior High School","WA"
"Central Sydney Intensive English High School","NSW"
"Central West Leadership Academy","NSW"
"Central Yorke School","SA"
"Centralian Middle School","NT"
"Centralian Senior College","NT"
"Cerdon College","NSW"
