"School Name","Region"
"East Victoria Park Education Support Centre","WA"
"Eastern Fleurieu R-12 School","SA"
"Eastern Goldfields College","WA"
"Eastern Goldfields Education Support Centre","WA"
"Eastern Hills Senior High School","WA"
"Eastern Ranges School","VIC"
"Eastside Lutheran College","TAS"
"Eaton Community College","WA"
"Ebenezer Christian College","NSW"
"ECG College","VIC"
"Echuca College","VIC"
"Echuca Specialist School","VIC"
"EDEN College","NSW"
"Eden Marine High School","NSW"
"Edenhope College","VIC"
"Edgars Creek Secondary College","VIC"
"Edgeware School","NSW"
"Edinburgh College","VIC"
"Edmund Rice College","NSW"
"Edmund Rice College","WA"
"EdSpace","VIC"
"Edward John Eyre High School","SA"
"Eidsvold State School","QLD"
"Eileen O'Connor Catholic College","NSW"
"Elanora State High School","QLD"
"Elderslie High School","NSW"
"Elevation Secondary College","VIC"
"Elisabeth Murdoch College","VIC"
"Elizabeth College","TAS"
"Elizabeth Macarthur High School","NSW"
"Ellenbrook Christian College","WA"
"Ellenbrook Secondary College","WA"
"Elliott School","NT"
"Elliston Area School","SA"
"Elonera Montessori School","NSW"
"Elouera Special School","NSW"
"Eltham College","VIC"
"Eltham High School","VIC"
"Elwood College","VIC"
"Emanuel School","NSW"
"Emerald Christian College","QLD"
"Emerald Secondary College","VIC"
"Emerald State High School","QLD"
"Emerson School","VIC"
"Emmanuel Anglican College","NSW"
"Emmanuel Catholic College","WA"
"Emmanuel Christian Community School","WA"
"Emmanuel Christian School","TAS"
"Emmanuel College","VIC"
"Emmanuel College","QLD"
"Emmanuel College Inc.","VIC"
"Emmaus Catholic College","NSW"
"Emmaus Christian College","SA"
"Emmaus Christian School","ACT"
"Emmaus College","VIC"
"Emmaus College","QLD"
"Emmaus College","QLD"
"Emmaville Central School","NSW"
"Encounter Lutheran College","SA"
"Endeavour Christian College","QLD"
"Endeavour College","SA"
"Endeavour Education Support Centre","WA"
"Endeavour Sports High School","NSW"
"Engadine High School","NSW"
"Epenarra School","NT"
"Epping Boys High School","NSW"
"Epping Secondary College","VIC"
"Erina High School","NSW"
"Erindale College","ACT"
"Ernabella Anangu School","SA"
"Errington Special Education Centre","SA"
"Erskine Park High School","NSW"
"Esperance Anglican Community School","WA"
"Esperance Education Support Centre","WA"
"Esperance Senior High School","WA"
"Essendon Keilor College","VIC"
"ET Australia Secondary College","NSW"
"Eudunda Area School","SA"
"Euroa Secondary College","VIC"
"Evans High School","NSW"
"Evans River Community School","NSW"
"Everton Park State High School","QLD"
"Exeter High School","TAS"
"Exmouth District High School","WA"
"Eynesbury College","SA"
"Eynesbury Senior College","SA"
"Fahan School","TAS"
"Fairbridge College","WA"
"Fairfield High School","NSW"
"Fairhills High School","VIC"
"Fairholme College","QLD"
"Fairvale High School","NSW"
"Faith Baptist Christian School","QLD"
"Faith Christian School of Distance Education","QLD"
"Faith Lutheran College","SA"
"Faith Lutheran College - Plainland","QLD"
"FAME - Flexible Accredited Meaningful Engagement","SA"
"Farmhouse Montessori School","NSW"
"Farrer Memorial Agricultural High School","NSW"
"FCJ College","VIC"
"Featherbrook P-9 College","VIC"
"Fernhill School","NSW"
"Ferny Grove State High School","QLD"
"Field of Mars Environmental Education Centre","NSW"
"Figtree High School","NSW"
"Findon High School","SA"
"Finigan School of Distance Education","NSW"
"Finke School","NT"
"Finley High School","NSW"
"Fintona Girls' School","VIC"
"Firbank Grammar School","VIC"
"Fisher Road School","NSW"
"Fitzroy High School","VIC"
"Fitzroy Valley District High School","WA"
"Five Islands School","NSW"
"Five Islands Secondary College","NSW"
"Flagstone State Community College","QLD"
"Flinders Christian Community College","VIC"
"Flinders Island District High School","TAS"
"Footscray City College","VIC"
"Footscray High School","VIC"
"Forbes High School","NSW"
"Forest Hill College","VIC"
"Forest Lake State High School","QLD"
"Forrest Parade School","NT"
"Fort Street High School","NSW"
"Fortitude Valley State Secondary College","QLD"
"Foster Secondary College","VIC"
"Foundation Christian College","WA"
"Fountain College - Ferndale Campus","WA"
"Fountain Gate Secondary College","VIC"
"Fowler Road School","NSW"
"Foxwell State Secondary College","QLD"
"Francis Greenway High School","NSW"
"Frank Dando Sports Academy","VIC"
"Frankston High School","VIC"
"Frankston Special Developmental School","VIC"
"Fraser Coast Anglican College","QLD"
"Frederick Irwin Anglican School","WA"
"Freeman Catholic College","NSW"
"Fregon Anangu School","SA"
"Fremantle Christian College","WA"
"Fremantle College","WA"
"Fremantle Language Development Centre","WA"
"Frensham School","NSW"
"Freshwater Christian College","QLD"
"Furlong Park School For Deaf Children","VIC"
"G S Kidd Memorial School","NSW"
"Galen Catholic College","VIC"
"Galstaun College","NSW"
"Galston High School","NSW"
"Gapuwiyak School","NT"
"Garden College","SA"
"Gawa Christian School","NT"
"Gawler and District College B-12","SA"
"Geebung Special School","QLD"
"Geelong Baptist College","VIC"
"Geelong Grammar School - Corio Campus","VIC"
"Geelong High School","VIC"
"Geelong Lutheran College","VIC"
"Genazzano FCJ College","VIC"
"Genesis Christian College","QLD"
"Geneva Christian College","TAS"
"Geographe Education Support Centre","WA"
"George Bass School","NSW"
"Georges River College Hurstville Boys Campus","NSW"
"Georges River College Oatley Senior Campus","NSW"
"Georges River College Peakhurst Campus","NSW"
"Georges River College Penshurst Girls Campus","NSW"
"Georges River Environmental Education Centre","NSW"
"Georges River Grammar","NSW"
"Georgiana Molloy Anglican School","WA"
"Geraldton Flexible Learning Centre","WA"
"Geraldton Grammar School","WA"
"Geraldton Senior High School","WA"
"German International School Sydney","NSW"
"Giant Steps Melbourne","VIC"
"Giant Steps Sydney","NSW"
"Giant Steps Tasmania","TAS"
"Gibberagong Environmental Education Centre","NSW"
"Gilgandra High School","NSW"
"Gilmore College","WA"
"Gilmore College For Girls","VIC"
"Gilroy Catholic College","NSW"
"Gilroy Santa Maria College","QLD"
"Gilson College","VIC"
"Gin Gin State High School","QLD"
"Gingin District High School","WA"
"Gippsland Grammar","VIC"
"Girl Academy","QLD"
"Girrakool School","NSW"
"Girraween High School","NSW"
"Girrawheen Senior High School","WA"
"Girton Grammar School","VIC"
"Gisborne Secondary College","VIC"
"Gladstone High School","SA"
"Gladstone Park Secondary College","VIC"
"Gladstone State High School","QLD"
"Gladys Newton School","WA"
"Glasshouse Christian College","QLD"
"Gleeson College","SA"
"Glen Eira College","VIC"
"Glen Innes High School","NSW"
"Glen Waverley Secondary College","VIC"
"Glenaeon Rudolf Steiner School","NSW"
"Glenala State High School","QLD"
"Glenallen School","VIC"
"Glendale Technology High School","NSW"
"Glenden State School","QLD"
"Gleneagles Secondary College","VIC"
"Glenfield Park School","NSW"
"Glenmore Park High School","NSW"
"Glenmore State High School","QLD"
"Glenora District School","TAS"
"Glenroy Private","VIC"
"Glenroy Secondary College","VIC"
"Glenroy Specialist School","VIC"
"Glenunga International High School","SA"
"Glenvale School","NSW"
"Glenwood High School","NSW"
"Glossop High School","SA"
"Gloucester High School","NSW"
"Gnowangerup District High School","WA"
"Gold Coast Christian College","QLD"
"Gold Creek School","ACT"
"Golden Grove High School","SA"
"Goldfields Baptist College","WA"
"Good Counsel College","QLD"
"Good News Lutheran College","VIC"
"Good Samaritan Catholic College","NSW"
"Good Samaritan Catholic College","QLD"
"Good Samaritan College","QLD"
"Good Shepherd Catholic College","QLD"
"Good Shepherd Christian School","QLD"
"Good Shepherd College","VIC"
"Good Shepherd Lutheran College","NT"
"Good Shepherd Lutheran College","QLD"
"Goodna Special School","QLD"
"Goodooga Central School","NSW"
"Goomeri State School","QLD"
"Goondiwindi State High School","QLD"
"Goongerah Tubbut P-8 College","VIC"
"Gordon Education Centre","SA"
"Gordonvale State High School","QLD"
"Gorokan High School","NSW"
"Goroke P-12 College","VIC"
"Gosford High School","NSW"
"Goulburn High School","NSW"
"Goulburn Valley Grammar School","VIC"
"Governor Stirling Senior High School","WA"
"Grace Christian College Wodonga","VIC"
"Grace Christian School","WA"
"Grace Lutheran College","QLD"
"Grafton High School","NSW"
"Gralee School","NSW"
"Grant High School","SA"
"Granville Boys High School","NSW"
"Granville South Creative and Performing Arts High School","NSW"
"Great Lakes College Forster Campus","NSW"
"Great Lakes College Senior Campus","NSW"
"Great Lakes College Tuncurry Campus","NSW"
"Great Southern Grammar School","WA"
"Greater Shepparton Secondary College","VIC"
"Green Point Christian College","NSW"
"Green Valley Islamic College","NSW"
"Greenacre Baptist Christian Community School","NSW"
"Greensborough Secondary College","VIC"
"Greenwood College","WA"
"Greystanes High School","NSW"
"Griffith High School","NSW"
"Grovedale College","VIC"
"Groves Christian College","QLD"
"Guildford Grammar School","WA"
"Guilford Young College","TAS"
"Gulargambone Central School","NSW"
"Gulf Christian College","QLD"
"Gulgong High School","NSW"
"Gunbalanya School","NT"
"Gundagai High School","NSW"
"Gungahlin College","ACT"
"Gunnedah High School","NSW"
"Guyra Central School","NSW"
"Gwynne Park Education Support Centre","WA"
"Gymea Technology High School","NSW"
"Gympie Flexible Learning Centre","QLD"
"Gympie Special School","QLD"
"Gympie State High School","QLD"
"Haasts Bluff School","NT"
"Haileybury College","VIC"
"Haileybury Rendall School","NT"
"Hale School","WA"
"Halinda School","NSW"
"Hallam Senior Secondary College","VIC"
"Hallett Cove School","SA"
"Halls Creek District High School","WA"
"Halls Head College","WA"
"Halls Head College Education Support Centre","WA"
"Hamilton Parklands School","VIC"
"Hamilton Secondary College","SA"
"Hamlyn Views School","VIC"
"Hammond Park Secondary College","WA"
"Hampden Specialist School","VIC"
"Hampton Park Secondary College","VIC"
"Hampton Senior High School","WA"
"Harrisdale Senior High School","WA"
"Harrison School","ACT"
"Harristown State High School","QLD"
"Harts Range School","NT"
"Harvest Christian College","SA"
"Harvey Senior High School","WA"
"Hastings Secondary College, Port Macquarie Campus","NSW"
"Hastings Secondary College, Westport Campus","NSW"
"Havenlee School","NSW"
"Hawker Area School","SA"
"Hawker College","ACT"
"Hawkesbury High School","NSW"
"Hawkesdale P12 College","VIC"
"Hay War Memorial High School","NSW"
"Hazel Glen College","VIC"
"Headland Montessori ELC","NSW"
"Healesville High School","VIC"
"Heathcote High School","NSW"
"Heathdale Christian College","VIC"
"Heatherton Christian College","VIC"
"Heatherwood School","VIC"
"Heathfield High School","SA"
"Heathmont College","VIC"
"Heatley Secondary College","QLD"
"Hedland Senior High School","WA"
"Heights College","QLD"
"Helena College","WA"
"Helensvale State High School","QLD"
"Hellyer College","TAS"
"Hemmant Flexible Learning Centre","QLD"
"Henbury School","NT"
"Henderson College","VIC"
"Henley High School","SA"
"Hennessy Catholic College","NSW"
"Henry Kendall High School","NSW"
"Herberton State School","QLD"
"Heritage Christian School","NSW"
"Heritage College","VIC"
"Heritage College","SA"
"Heritage College Lake Macquarie","NSW"
"Heritage College Perth","WA"
"Hervey Bay Special School","QLD"
"Hervey Bay State High School","QLD"
"Hester Hornbrook Academy","VIC"
"Heywood District Secondary College","VIC"
"Highfields State Secondary College","QLD"
"Highlands Christian College","QLD"
"Highlands School","NSW"
"Highvale Secondary College","VIC"
"Highview College","VIC"
"Hillbrook Anglican School","QLD"
"Hillcrest Christian College","VIC"
"Hillcrest Christian College","QLD"
"Hilliard Christian School","TAS"
"Hills Adventist College","NSW"
"Hills International College","QLD"
"Hills Montessori School","NSW"
"HillSide Christian College","WA"
"Hillston Central School","NSW"
"Hinchinbrook Christian School","QLD"
"Hinterland Christian College","NSW"
"Hobart College","TAS"
"Holland Park State High School","QLD"
"Holland Street School","WA"
"Holman Place School","NSW"
"Holmes Secondary College","VIC"
"Holmes Secondary College","NSW"
"Holroyd High School","NSW"
"Holroyd School","NSW"
"Holsworthy High School","NSW"
"Holy Cross College","WA"
"Holy Cross College","NSW"
"Holy Spirit Catholic College","NSW"
"Holy Spirit College","NSW"
"Holy Spirit College","QLD"
"Holy Spirit College","QLD"
"Holy Trinity Lutheran College","VIC"
"Holy Trinity School","NSW"
"Home Hill State High School","QLD"
"Homebush Boys High School","NSW"
"Homestead Senior Secondary College","VIC"
"Hope Christian College","WA"
"Hope Christian College","SA"
"Hopetoun P-12 College","VIC"
"HopeTown School","NSW"
"Hoppers Crossing Secondary College","VIC"
"Horizon Christian School","SA"
"Horizons College of Learning and Enrichment","QLD"
"Hornsby Girls High School","NSW"
"Horsham College","VIC"
"Horsham Special School","VIC"
"Hoxton Park High School","NSW"
"Hubbard's School","QLD"
"Hughenden State School","QLD"
"Hume Anglican Grammar","VIC"
"Hume Central Secondary College","VIC"
"Hume Valley School","VIC"
"Hunter Christian School","NSW"
"Hunter River Community School","NSW"
"Hunter River High School","NSW"
"Hunter School of Performing Arts","NSW"
"Hunter Sports High School","NSW"
"Hunter Trade College","NSW"
"Hunter Valley Grammar School","NSW"
"Hunters Hill High School","NSW"
"Huntingtower School","VIC"
"Huonville High School","TAS"
"Hurlstone Agricultural High School","NSW"
"Hymba Yumba Independent School","QLD"
"Ignatius Park College","QLD"
"Ilim College","VIC"
"Illawarra Christian School","NSW"
"Illawarra Environmental Education Centre","NSW"
"Illawarra Hospital School","NSW"
"Illawarra Sports High School","NSW"
"Imanpa School","NT"
"Immaculate Heart College","WA"
"Immanuel College","SA"
"Immanuel Lutheran College","QLD"
"Inaburra School","NSW"
"Inala Flexible Learning Centre","QLD"
"Indie School - Devonport","TAS"
"Indie School - Glenorchy","TAS"
"Indie School Albury","NSW"
"Indie School Elizabeth","SA"
"Indie School Wodonga","VIC"
"Indooroopilly State High School","QLD"
"Indulkana Anangu School","SA"
"Induna School","NSW"
"Ingham State High School","QLD"
"Ingleburn High School","NSW"
"Inglewood State School","QLD"
"Injune P-10 State School","QLD"
"Inner Sydney High School","NSW"
"Innisfail State College","QLD"
"Insight Education Centre for the Blind and Vision Impaired","VIC"
"International Grammar School","NSW"
"International School of Western Australia","WA"
"Inverell High School","NSW"
"Investigator College","SA"
"Iona College","QLD"
"Iona College Geelong","VIC"
"Iona Presentation College","WA"
"Ipswich Flexible Learning Centre","QLD"
"Ipswich Girls' Grammar School","QLD"
"Ipswich Grammar School","QLD"
"Ipswich Special School","QLD"
"Ipswich State High School","QLD"
"Ipswich West Special School","QLD"
"IQRA College","SA"
"Irene McCormack Catholic College","WA"
"Irfan College","NSW"
"Irrawang High School","NSW"
"Irymple Secondary College","VIC"
"Isis District State High School","QLD"
"Islamic College of Brisbane","QLD"
"Islamic College Of Melbourne","VIC"
"Islamic School of Canberra","ACT"
"Ivanhoe Central School","NSW"
"Ivanhoe Girls' Grammar School","VIC"
"Ivanhoe Grammar School","VIC"
"J J Cahill Memorial High School","NSW"
"Jabiru Area School","NT"
"Jabiru Community College","QLD"
"Jabiru Community College","QLD"
"Jacana School for Autism","VIC"
"Jackson School","VIC"
"James Busby High School","NSW"
"James Cook Boys High School","NSW"
"James Fallon High School","NSW"
"James Meehan High School","NSW"
"James Nash State High School","QLD"
"James Ruse Agricultural High School","NSW"
"James Sheahan Catholic High School","NSW"
"Jamestown Community School","SA"
"Jamison High School","NSW"
"Jandowae Prep-10 State School","QLD"
"Japanese School of Melbourne","VIC"
"Jennings Street School","VIC"
"Jerramungup District High School","WA"
"Jigalong Remote Community School","WA"
"Jilkminggan School","NT"
"Jindabyne Central School","NSW"
"John Calvin Christian College","WA"
"John Calvin School","TAS"
"John Calvin School (Albany)","WA"
"John Curtin College Of The Arts","WA"
"John Edmondson High School","NSW"
"John Fawkner Secondary College","VIC"
"John Forrest Secondary College","WA"
"John Hunter Hospital School","NSW"
"John Monash Science School","VIC"
"John Paul College","VIC"
"John Paul College","QLD"
"John Paul College","WA"
"John Pirie Secondary School","SA"
"John Pujajangka Piyirn School","WA"
"John Septimus Roe Anglican Community School","WA"
"John Therry Catholic College","NSW"
"John Tonkin College","WA"
"John Tonkin College Education Support Centre","WA"
"John Wollaston Anglican Community School","WA"
"John XXIII College","WA"
"Joondalup Education Support Centre","WA"
"Joseph Banks Secondary College","WA"
"Josiah College","QLD"
"JRLF - Senior School","TAS"
"Jubilee Christian College","QLD"
"Junee High School","NSW"
"Jurien Bay District High School","WA"
"Kadina Memorial School","SA"
"Kairos Community College","QLD"
"Kalamunda Primary Education Support Centre","WA"
"Kalamunda Secondary Education Support Centre","WA"
"Kalamunda Senior High School","WA"
"Kalbarri District High School","WA"
"Kalgoorlie-Boulder Community High School","WA"
"Kalianna Special School","VIC"
"Kalinda School","NSW"
"Kalkaringi School","NT"
"Kalumburu Remote Community School","WA"
"Kamaruka","VIC"
"Kamay Botany Bay Environment Education Centre","NSW"
"Kambala","NSW"
"Kambalda West District High School","WA"
"Kambrya College","VIC"
"Kanahooka High School","NSW"
"Kandeer School","NSW"
"Kandos High School","NSW"
"Kangaroo Inn Area School","SA"
"Kangaroo Island Community Education","SA"
"Kaniva College","VIC"
"Kapunda High School","SA"
"Karabar High School","NSW"
"Karcultaby Area School","SA"
"Kardinia International College","VIC"
"Kariong Mountains High School","NSW"
"Karningul School","NSW"
"Karonga School","NSW"
"Karoonda Area School","SA"
"Karratha Senior High School","WA"
"Karuna Montessori School","NSW"
"Katandra School","VIC"
"Katanning Senior High School","WA"
"Katherine High School","NT"
"Katherine School Of The Air","NT"
"Katoomba High School","NSW"
"Kaurna Plains School","SA"
"Kawana Waters State College","QLD"
"Kearnan College","WA"
"Kedron State High School","QLD"
"Keebra Park State High School","QLD"
"Keilor Downs Secondary College","VIC"
"Keira High School","NSW"
"Keith Area School","SA"
"Kellerberrin District High School","WA"
"Kellyville High School","NSW"
"Kelmscott Senior High School","WA"
"Kelvin Grove State College","QLD"
"Kempsey Adventist School","NSW"
"Kempsey High School","NSW"
"Kenmore Park Anangu School","SA"
"Kenmore State High School","QLD"
"Kennedy Baptist College","WA"
"Kensington Community High School","VIC"
"Kensington Secondary School","WA"
"Kent Street Senior High School","WA"
"Kenwick School","WA"
"Kepnock State High School","QLD"
"Kerang Christian College","VIC"
"Kerang Technical High School","VIC"
"Kesser Torah College","NSW"
"Kew High School","VIC"
"Key College","NSW"
"Keysborough Secondary College","VIC"
"Kiama High School","NSW"
"Kiana School","NT"
"Kiara College","WA"
"Kilbreda College","VIC"
"Kilcoy State High School","QLD"
"Kildare Catholic College","NSW"
"Kildare College","SA"
"Kilkivan State School","QLD"
"Killara High School","NSW"
"Killarney Heights High School","NSW"
"Killarney P-10 State School","QLD"
"Killester College","VIC"
"Kilparrin Teaching and Assessment School and Services","SA"
"Kilvington Grammar School","VIC"
"Kimba Area School","SA"
"Kimberley College","QLD"
"Kincoppal - Rose Bay School of the Sacred Heart","NSW"
"Kincumber High School","NSW"
"Kindlehill School","NSW"
"King Island District High School","TAS"
"Kingaroy State High School","QLD"
"Kingdom Culture Christian School","NSW"
"King's Baptist Grammar School","SA"
"King's Christian College","QLD"
"King's College","VIC"
"Kings Meadows High School","TAS"
"Kingscliff High School","NSW"
"Kingsford Smith School","ACT"
"Kingsgrove High School","NSW"
"Kingsgrove North High School","NSW"
"Kingsley College","QLD"
"Kingston Community School","SA"
"Kingston High School","TAS"
"Kingston International College","WA"
"Kingston State College","QLD"
"Kingsway Christian College","WA"
"Kingswood College","VIC"
"Kingswood High School","NSW"
"Kinross College","WA"
"Kinross Wolaroi School","NSW"
"Kintore Street School","NT"
"Kirrawee High School","NSW"
"Kirwan State High School","QLD"
"Knox Grammar School","NSW"
"Kogarah High School","NSW"
"Koinonia Christian Academy","NSW"
"Kojonup District High School","WA"
"Kolbe Catholic College","VIC"
"Kolbe Catholic College","WA"
"Koo Wee Rup Secondary College","VIC"
"Koonung Secondary College","VIC"
"Koorana Education Support Centre","WA"
"Kooringal High School","NSW"
"Korowa Anglican Girls' School","VIC"
"Korowal School","NSW"
"Korumburra Secondary College","VIC"
"Kotara High School","NSW"
"Kotara School","NSW"
"Kowanyama State School","QLD"
"Kulin District High School","WA"
"Kulkarriya Community School","WA"
"Kuraby Special School","QLD"
"Kuranda District State College","QLD"
"Ku-ring-gai High School","NSW"
"Kurnai College","VIC"
"Kurrambee School","NSW"
"Kurri Kurri High School","NSW"
"Kurunjang Secondary College","VIC"
"Kururrungku Catholic Education Centre","WA"
"Kutta Mulla Gorinna Special Assistance School","QLD"
"Kuyper Christian School","NSW"
"Kyabram P-12 College","VIC"
"Kyneton High School","VIC"
"Kyogle High School","NSW"
"La Grange Remote Community School","WA"
"La Salle Academy","NSW"
"La Salle Catholic College","NSW"
"La Salle College","WA"
"Laidley State High School","QLD"
"Lajamanu School","NT"
"Lake Bolac College","VIC"
"Lake Cargelligo Central School","NSW"
"Lake Grace District High School","WA"
"Lake Illawarra High School","NSW"
"Lake Joondalup Baptist College","WA"
"Lake Macquarie High School","NSW"
"Lake Munmorah High School","NSW"
"Lake Tuggeranong College","ACT"
"Lakeland Senior High School","WA"
"Lakes Entrance Secondary College","VIC"
"Lakes Grammar - An Anglican School","NSW"
"Lakeside College","VIC"
"Lakeside School","NSW"
"Lakeview Senior College","VIC"
"Lalor North Secondary College","VIC"
"Lalor Secondary College","VIC"
"Lambert School","TAS"
"Lambton High School","NSW"
"Lameroo Regional Community School","SA"
"Landsdale Christian School","WA"
"Lanyon High School","ACT"
"Lara Secondary College","VIC"
"Laramba School","NT"
"Latrobe High School","TAS"
"Latrobe Special Developmental School","VIC"
"Launceston Big Picture School","TAS"
"Launceston Christian School","TAS"
"Launceston Church Grammar School","TAS"
"Launceston College","TAS"
"Lauriston Girls' School","VIC"
"Lavalla Catholic College","VIC"
"Lavers Hill K-12 College","VIC"
"Laverton P-12 College","VIC"
"Laverton School","WA"
"Lawrence Hargrave School","NSW"
"Le Fevre High School","SA"
"Leaning Tree Steiner School","WA"
"Leda Education Support Centre","WA"
"Lee Street State Special School","QLD"
"Leeming Senior High School","WA"
"Leeming Senior High School Education Support Centre","WA"
"Leeton High School","NSW"
"Leibler Yavneh College","VIC"
"Leigh Creek Area School","SA"
"Leighland Christian School","TAS"
"Leinster Community School","WA"
"Leongatha Secondary College","VIC"
"Leonora District High School","WA"
"Les Powell School","NSW"
"Lesmurdie Senior High School","WA"
"Leumeah High School","NSW"
"Lighthouse Christian College","VIC"
"Lighthouse Christian College Cranbourne","VIC"
"Lighthouse Christian School","QLD"
"Lightning Ridge Central School","NSW"
"Lilydale District School","TAS"
"Lilydale Heights College","VIC"
"Lilydale High School","VIC"
"Lincoln School","NSW"
"Lindfield Learning Village","NSW"
"Lindfield Montessori Preschool","NSW"
"Lindisfarne Anglican Grammar School","NSW"
"Linuwel School Ltd","NSW"
"Lisarow High School","NSW"
"Lithgow High School","NSW"
"Little Yarra Steiner School","VIC"
"Liverpool Boys High School","NSW"
"Liverpool Girls High School","NSW"
"Liverpool Hospital School","NSW"
"Living School","NSW"
"Living Waters Lutheran College","WA"
"Livingstone Christian College","QLD"
"Lock Area School","SA"
"Lockhart Central School","NSW"
"Lockhart State School","QLD"
"Lockyer District State High School","QLD"
"Logan City Special School","QLD"
"Loganlea State High School","QLD"
"Lomandra School","NSW"
"Longneck Lagoon Environmental Education Centre","NSW"
"Longreach School of Distance Education","QLD"
"Longreach State High School","QLD"
"Looma Remote Community School","WA"
"Lord Howe Island Central School","NSW"
"Loreto College","VIC"
"Loreto College","SA"
"Loreto College Coorparoo","QLD"
"Loreto Kirribilli","NSW"
"Loreto Mandeville Hall","VIC"
"Loreto Normanhurst","NSW"
"Lorien Novalis School for Rudolf Steiner Education","NSW"
"Lorne P-12 College","VIC"
"Lourdes Hill College","QLD"
"Lowanna College","VIC"
"Lowood State High School","QLD"
"Lowther Hall Anglican Grammar School","VIC"
"Loxton High School","SA"
"Loyola College","VIC"
"Ltyentye Apurte Catholic School","NT"
"Lucas Gardens School","NSW"
"Lucas Heights Community School","NSW"
"Lucindale Area School","SA"
"Lumen Christi Catholic College","NSW"
"Lumen Christi College","WA"
"Lurnea High School","NSW"
"Luther College","VIC"
"Lutheran Ormeau Rivers District School","QLD"
"Luurnpa Catholic School","WA"
"Lycee Condorcet The International French School Of Sydney","NSW"
"Lynall Hall Community School","VIC"
"Lyndale Secondary College","VIC"
"Lyndhurst Secondary College","VIC"
"Lyneham High School","ACT"
"Lynwood Senior High School","WA"
"Mabel Park State High School","QLD"
"Macarthur Adventist College","NSW"
"Macarthur Anglican School","NSW"
"Macarthur Girls High School","NSW"
"MacGregor State High School","QLD"
"Macintyre High School","NSW"
"Mackay Christian College","QLD"
"Mackay District Special School","QLD"
"Mackay North State High School","QLD"
"Mackay Northern Beaches State High School","QLD"
"Mackay State High School","QLD"
"Mackenzie State Special School","QLD"
"MacKillop Catholic College","TAS"
"MacKillop Catholic College","NSW"
"MacKillop Catholic College","NT"
"MacKillop Catholic College, Mount Peter","QLD"
"MacKillop Catholic Regional College","VIC"
"MacKillop College","NSW"
"MacKillop College Port Macquarie","NSW"
"MacKillop Specialist School","VIC"
"Macksville High School","NSW"
"Maclean High School","NSW"
"Macleay Vocational College","NSW"
"Macleod College","VIC"
"Macquarie Anglican Grammar School","NSW"
"Macquarie College","NSW"
"Macquarie Fields High School","NSW"
"Macquarie Grammar School","NSW"
"Macquarie University Special Education Centre","NSW"
"MacRobertson Girls High School","VIC"
"Maddington Education Support Centre","WA"
"Maffra Secondary College","VIC"
"Magdalene Catholic College","NSW"
"Mainsbridge School","NSW"
"Maitland Christian School","NSW"
"Maitland Grossmann High School","NSW"
"Maitland High School","NSW"
"Maitland Lutheran School","SA"
"Malanda State High School","QLD"
"Malek Fahd Islamic School","NSW"
"Maleny Independent School","QLD"
"Maleny State High School","QLD"
"Malibu School","WA"
"Malkara School","ACT"
"Mallacoota P-12 College","VIC"
"Mamaruni School","NT"
"Mamre Anglican School","NSW"
"Manangatang P-12 College","VIC"
"Mandurah Baptist College","WA"
"Mandurah Catholic College","WA"
"Manea Senior College","WA"
"Mango Hill State Secondary College","QLD"
"Manilla Central School","NSW"
"Maningrida College","NT"
"Manjimup Education Support Centre","WA"
"Manjimup Senior High School","WA"
"Manning Valley Anglican College","NSW"
"Mannum Community College","SA"
"Manor Lakes P-12 College","VIC"
"Mansfield Autism Statewide Services","VIC"
"Mansfield Rudolf Steiner School","VIC"
"Mansfield Secondary College","VIC"
"Mansfield State High School","QLD"
"Maple Leaf School - University of South Australia","SA"
"Mapuru Yirralka College","NT"
"Maranatha Christian School","VIC"
"Marble Bar Primary School","WA"
"Marcellin College","NSW"
"Marcellin College","VIC"
"Marden Senior College","SA"
"Mareeba State High School","QLD"
"Margaret Jurd College","NSW"
"Margaret River Senior High School","WA"
"Marian Catholic College","NSW"
"Marian Catholic College","NSW"
"Marian College","VIC"
"Marian College","VIC"
"Marian College","VIC"
"Maribyrnong Secondary College","VIC"
"Marist Catholic College Penshurst","NSW"
"Marist College","QLD"
"Marist College Ashgrove","QLD"
"Marist College Bendigo","VIC"
"Marist College Canberra","ACT"
"Marist College Eastwood","NSW"
"Marist College Kogarah","NSW"
"Marist College North Shore","NSW"
"Marist Regional College","TAS"
"Marist Sisters' College Woolwich","NSW"
"Marist-Sion College","VIC"
"Mark Oliphant College (B-12)","SA"
"Marnebek School Cranbourne","VIC"
"Maronite College of the Holy Family - Parramatta","NSW"
"Maroochydore State High School","QLD"
"Marrara Christian College","NT"
"Marree Aboriginal School","SA"
"Marrickville High School","NSW"
"Marryatville High School","SA"
"Marsden High School","NSW"
"Marsden State High School","QLD"
"Mary Brooksbank School","NSW"
"Mary MacKillop Catholic College","NSW"
"Mary MacKillop Catholic College","QLD"
"Mary MacKillop Catholic Regional College","VIC"
"Mary MacKillop College","QLD"
"Mary MacKillop College","SA"
"Mary Valley State College","QLD"
"Maryborough Education Centre","VIC"
"Maryborough Special School","QLD"
"Maryborough State High School","QLD"
"Marymede Catholic College","VIC"
"Marymount College","QLD"
"Masada College","NSW"
"Mataranka School","NT"
"Mater Christi College","VIC"
"Mater Dei Catholic College","NSW"
"Mater Dei College","WA"
"Mater Dei School","NSW"
"Mater Maria Catholic College","NSW"
